01/12/20 12:02:49:895 | [DEBUG] |  |  |  | AGSService |  |  | 102649 | Trying to acquire the semaphore
01/12/20 12:02:49:895 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 102649 | Semaphore acquired
01/12/20 12:02:49:896 | [INFO] |  |  |  | AdobeGCHostfileValidation |  |  | 102649 | Hostfile opened successfully
01/12/20 12:02:49:903 | [DEBUG] |  |  |  | AdobeGCHostfileValidation |  |  | 102649 | Checking if gocart server url is blocked in hostfile
01/12/20 12:02:49:903 | [INFO] |  |  |  | SLCoreService |  |  | 102649 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
01/12/20 12:02:49:903 | [ERROR] |  |  |  | SLCoreService |  |  | 102649 | user based licensing: 0
01/12/20 12:02:49:903 | [INFO] |  |  |  | SLCoreService |  |  | 102649 | Service construction took 0.1 ms and succeed.
01/12/20 12:02:49:921 | [INFO] |  |  |  | SLCoreService |  |  | 102649 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
01/12/20 12:02:49:921 | [INFO] |  |  |  | SLCoreService |  |  | 102649 | Service destruction took 0.1 ms and succeed.
01/12/20 12:02:49:921 | [ERROR] |  |  |  | AdobeGCIALWrapper |  |  | 102649 | Fetching server URL from dispatch table
01/12/20 12:02:49:925 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | __OOBELIB_LOG_FILE__
01/12/20 12:02:49:925 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Dispatch table loaded from path: /Library/Application Support/Adobe/AdobeGCClient/.//dispatchtable.xml 
01/12/20 12:02:49:927 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | (re)load Local Dispatch Table status-[0].
01/12/20 12:02:49:927 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Scope : [2]
01/12/20 12:02:49:927 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Setting scope to GM
01/12/20 12:02:49:927 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 102649 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
01/12/20 12:02:49:927 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | EndPoint requested: [PostRulesData]
01/12/20 12:02:49:927 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Length of the URL: [50]
01/12/20 12:02:49:927 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Returning from getEndpointAddr: [0]
01/12/20 12:02:49:927 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | EndPoint requested: [PostRulesData]
01/12/20 12:02:49:927 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Length of the URL: [50]
01/12/20 12:02:49:927 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | URL found [https://genuine.adobe.com/server/services/check/v1]
01/12/20 12:02:49:927 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Returning from getEndpointAddr: [0]
01/12/20 12:02:49:927 | [ERROR] |  |  |  | AdobeGCIALWrapper |  |  | 102649 | Fetching server URL from dispatch table
01/12/20 12:02:49:928 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Dispatch table loaded from path: /Library/Application Support/Adobe/AdobeGCClient/.//dispatchtable.xml 
01/12/20 12:02:49:928 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | (re)load Local Dispatch Table status-[0].
01/12/20 12:02:49:928 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Scope : [2]
01/12/20 12:02:49:928 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Setting scope to GM
01/12/20 12:02:49:928 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 102649 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
01/12/20 12:02:49:928 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | EndPoint requested: [ETSEndPoint]
01/12/20 12:02:49:932 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Length of the URL: [48]
01/12/20 12:02:49:933 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Returning from getEndpointAddr: [0]
01/12/20 12:02:49:933 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | EndPoint requested: [ETSEndPoint]
01/12/20 12:02:49:933 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Length of the URL: [48]
01/12/20 12:02:49:933 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | URL found [https://na1e.services.adobe.com/hsmessaging/rest]
01/12/20 12:02:49:933 | [INFO] |  |  |  | DispatchClientLib |  |  | 102649 | Returning from getEndpointAddr: [0]
01/12/20 12:02:49:933 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 102649 | deleteServerDomainBlockedKeyFromCache 
01/12/20 12:02:49:942 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 102649 | deleteServerAliasBlockedKeyFromCache 
01/12/20 12:02:49:943 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 102649 | deleteServerAliasValueFromCache 
01/12/20 12:02:49:944 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 102649 | Threaded CFU Started
01/12/20 12:02:49:944 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 102649 | Update call started
01/12/20 12:02:49:948 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 102649 | Suppress Update Flag = 0
01/12/20 12:02:49:948 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 102649 | GC Kill Switch = 0
01/12/20 12:02:49:948 | [ERROR] |  |  |  | AdobeGCUpdaterCFU |  |  | 102649 | Time flag read
01/12/20 12:02:49:948 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 102649 | LastUpdateCheckDurationPassed from cache 1578906516
01/12/20 12:02:49:948 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 102649 | LastUpdateCheckDurationPassed cached 1578906516 , curr 1578823369 res = 0
